"AM";"Região Norte"
"RR";"Região Norte"
"AP";"Região Norte"
"PA";"Região Norte"
"TO";"Região Norte"
"RO";"Região Norte"
"AC";"Região Norte"
"MA";"Região Nordeste"
"PI";"Região Nordeste"
"CE";"Região Nordeste"
"RN";"Região Nordeste"
"PE";"Região Nordeste"
"PB";"Região Nordeste"
"SE";"Região Nordeste"
"AL";"Região Nordeste"
"BA";"Região Nordeste"
"MT";"Região Centro-Oeste"
"MS";"Região Centro-Oeste"
"GO";"Região Centro-Oeste"
"SP";"Região Sudeste"
"RJ";"Região Sudeste"
"ES";"Região Sudeste"
"MG";"Região Sudeste"
"PR";"Região Sul"
"RS";"Região Sul"
"SC";"Região Sul"
"BR";"Informação a Nível Nacional"
"VT";"Voto em Transito"
"ZZ";"Exterior"

